gene_id,D20,D21,D22,L7,L8,L9,R13B,R15B,R33,S4,S5,S7
Pastreoides37389,0,13,112,395,416,484,137,68,8,405,254,311
Pastreoides17436,0,0,0,14,24,36,17,7,0,42,15,23
Pastreoides27022,0,0,0,113,47,113,12,0,0,71,71,178
Pastreoides54036,0,0,0,5,0,2,0,2,0,12,0,7
Pastreoides35726,0,13,2,1,2,0,2,0,1,2,0,0
Pastreoides35727,0,0,0,0,0,0,2,0,0,0,0,0
Pastreoides35724,0,0,0,17,9,0,8,0,0,0,0,6
Pastreoides35725,0,103,90,44,100,43,1241,20,6,56,34,129
Pastreoides35722,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides35399,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides35720,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides35721,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides35398,0,0,0,0,0,0,3,0,0,0,0,0
Pastreoides53610,0,1,2,2,5,3,4,0,0,8,6,12
Pastreoides35728,0,4,0,14,21,11,13,0,0,0,0,0
Pastreoides35729,0,0,1,2,1,0,1,2,0,0,2,0
Pastreoides59006,0,0,0,0,0,0,4,0,0,0,0,0
Pastreoides53611,0,0,0,0,6,0,2,0,1,8,6,9
Pastreoides27023,0,21,9,269,180,249,53,9,0,315,169,266
Pastreoides54644,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides17574,0,46,17,280,239,217,86,20,10,271,149,348
Pastreoides35395,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides53617,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides02272,0,33,52,53,74,100,121,20,12,0,29,47
Pastreoides02273,12,921,1287,10488,6101,5281,4144,1483,235,4641,3377,5036
Pastreoides25978,0,0,3,0,0,0,0,0,0,0,0,0
Pastreoides25979,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides37658,0,17,25,54,43,83,25,16,2,97,52,100
Pastreoides37659,182,3484,4933,2929,3575,4669,8532,2411,947,3035,1917,3574
Pastreoides02274,0,28,64,1859,1079,783,110,73,7,1172,999,1341
Pastreoides02275,0,42,148,1186,964,1123,158,63,18,946,707,833
Pastreoides25972,0,0,0,3,0,0,0,0,0,0,0,0
Pastreoides25973,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides02278,0,6,65,329,266,64,33,16,11,188,53,155
Pastreoides37657,0,12,65,331,0,450,526,13,0,208,157,213
Pastreoides37650,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides37651,0,0,5,8,0,0,0,0,0,0,0,4
Pastreoides37652,4,131,363,1767,999,1577,590,63,27,1133,725,1382
Pastreoides25975,0,6,4,27,28,18,7,2,1,20,15,9
Pastreoides12231,0,128,119,790,667,965,242,55,17,832,539,985
Pastreoides25919,0,0,0,0,0,0,183,23,8,0,0,0
Pastreoides45714,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides45715,0,5,7,0,23,3,28,0,3,19,10,18
Pastreoides45716,0,1,3,3,3,1,5,1,0,0,1,4
Pastreoides45717,0,0,0,0,0,0,2,3,0,0,0,0
Pastreoides45710,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides57460,0,12,16,174,65,183,18,13,4,182,77,196
Pastreoides45712,0,2,3,0,0,0,0,0,0,0,0,0
Pastreoides45713,0,2,3,1,2,1,4,0,1,2,2,2
Pastreoides45718,0,0,0,44,55,38,11,7,2,39,18,62
Pastreoides45719,0,0,1,0,0,0,8,0,2,0,0,7
Pastreoides21178,47,488,900,563,1073,145,726,312,85,349,190,304
Pastreoides54033,0,1,0,3,0,0,2,1,0,4,0,5
Pastreoides33768,0,0,2,6,4,19,5,4,0,14,14,17
Pastreoides33769,0,0,11,0,0,57,13,0,0,51,0,0
Pastreoides34884,0,29,24,151,335,721,18,9,0,694,386,932
Pastreoides62918,0,0,0,0,0,0,1,0,0,0,0,0
Pastreoides54032,2,59,195,113,169,1799,20,39,2,851,641,305
Pastreoides12237,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides13203,0,178,188,1884,2224,1924,290,185,60,1669,931,1150
Pastreoides33766,0,0,21,150,144,132,60,22,0,84,70,134
Pastreoides39282,0,0,0,0,0,0,0,0,0,0,4,0
Pastreoides33767,1,3,0,5,5,21,6,6,1,17,10,19
Pastreoides16127,0,0,13,100,142,219,34,0,0,138,95,156
Pastreoides51942,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides61645,0,7,4,23,17,34,8,0,2,19,20,29
Pastreoides05443,0,0,0,0,0,9,10,4,0,21,0,28
Pastreoides56116,0,0,6,0,0,0,3,0,0,0,0,0
Pastreoides13202,0,96,59,659,870,642,77,50,25,623,336,375
Pastreoides56560,0,4,6,8,21,39,0,0,0,28,23,18
Pastreoides39128,0,0,0,80,0,57,11,0,0,37,8,23
Pastreoides39129,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides59009,0,0,1,0,0,0,0,0,0,0,0,0
Pastreoides39124,0,0,2,0,4,0,0,0,0,10,0,0
Pastreoides34888,0,0,5,45,39,63,8,4,0,85,35,157
Pastreoides39126,0,13,30,103,135,86,30,0,0,117,0,155
Pastreoides39127,0,53,9,46,47,39,63,8,3,51,28,44
Pastreoides39120,0,89,206,1064,994,1351,322,107,10,1185,698,1523
Pastreoides39121,23,174,534,1967,1719,2243,996,231,63,1758,975,2287
Pastreoides39122,34,433,1133,3705,3641,3843,1694,516,70,3390,1900,4683
Pastreoides39123,0,95,252,1190,1123,1066,430,85,0,964,458,1140
Pastreoides05596,0,0,28,296,248,288,75,15,0,328,130,251
Pastreoides05597,0,0,0,0,0,0,3,0,0,0,0,0
Pastreoides05594,0,17,0,262,180,266,104,37,0,270,143,328
Pastreoides05595,28,1444,1901,278,661,5137,53,51,8,2444,1984,1332
Pastreoides05592,0,42,59,213,224,284,102,39,0,177,78,162
Pastreoides05593,0,0,34,215,134,176,68,14,7,221,114,276
Pastreoides05590,0,243,259,382,829,333,394,62,57,974,647,795
Pastreoides05591,0,0,15,253,331,155,34,0,0,231,92,235
Pastreoides12234,0,0,0,6,10,0,3,0,0,0,0,0
Pastreoides05598,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides05599,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides38831,0,705,1044,12280,11645,19983,881,352,66,17516,9676,15439
Pastreoides09691,0,0,0,2,0,0,2,0,0,0,0,0
Pastreoides26409,0,0,0,0,0,1,0,0,0,0,0,0
Pastreoides26408,0,0,0,0,9,0,0,0,0,0,0,0
Pastreoides38835,5,34,31,367,304,153,124,5,4,29,21,32
Pastreoides38834,0,423,454,1034,1391,1087,324,282,46,1685,1036,1424
Pastreoides31719,0,0,181,1449,1099,1392,152,34,23,919,626,1271
Pastreoides38836,0,0,50,474,531,272,110,28,10,320,282,383
Pastreoides26403,0,0,0,2,4,0,0,4,0,10,3,0
Pastreoides38838,0,12,5,44,74,68,24,3,0,61,49,50
Pastreoides26401,0,6,7,3,2,13,3,2,2,15,5,2
Pastreoides31714,0,32,39,224,403,156,18,0,0,149,6,43
Pastreoides31713,0,6,5,43,38,35,9,3,0,23,11,21
Pastreoides26406,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides26405,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides31710,20,989,1234,7051,9197,5422,1051,601,164,6085,3288,5632
Pastreoides02640,0,0,11,285,235,14,17,21,6,157,78,187
Pastreoides41796,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides21175,0,18,30,191,250,162,38,100,20,253,118,120
Pastreoides09695,0,4,5,0,0,16,19,16,0,37,0,16
Pastreoides13923,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides41797,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides02646,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides41798,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides09697,0,65,97,839,939,409,201,67,8,585,254,566
Pastreoides35176,0,0,2,11,0,6,0,0,0,1,0,15
Pastreoides02644,0,0,30,1107,366,603,56,0,0,750,401,807
Pastreoides36692,0,0,2,3,0,2,22,2,0,0,2,0
Pastreoides47298,26,403,592,3291,4263,3656,748,377,86,4580,2537,5619
Pastreoides31537,0,0,112,1284,1814,2228,322,83,21,2159,1127,3165
Pastreoides58657,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides24311,0,47,141,457,292,346,304,107,23,328,210,373
Pastreoides24310,0,2,4,103,71,143,8,6,3,108,52,90
Pastreoides24313,0,0,0,178,196,118,27,26,0,113,63,95
Pastreoides24312,0,0,0,232,257,421,31,0,0,286,0,0
Pastreoides24315,0,8,0,0,0,0,0,0,0,0,0,0
Pastreoides24314,0,14,22,243,258,145,48,17,7,150,78,91
Pastreoides24317,0,0,0,1547,619,1254,18,0,0,1318,772,1373
Pastreoides24316,0,0,18,297,107,313,26,10,13,317,226,355
Pastreoides24319,0,216,223,3421,3320,3106,523,200,54,2665,1706,2430
Pastreoides24318,44,73,440,1315,1402,1057,652,128,55,792,284,724
Pastreoides43981,0,5,6,100,79,64,6,0,0,61,65,70
Pastreoides30440,5,564,1653,20,34,80,2598,479,377,72,21,58
Pastreoides30441,10,116,121,113,127,73,415,91,25,109,109,164
Pastreoides30442,5,3,4,400,338,388,142,0,12,820,446,780
Pastreoides30443,0,0,0,2,0,0,0,0,0,0,0,0
Pastreoides30444,0,0,0,0,0,0,13,0,0,0,0,0
Pastreoides30445,0,21,56,349,335,259,77,41,0,313,142,264
Pastreoides30446,2,5,3,27,38,68,10,2,1,209,153,112
Pastreoides30447,0,4,2,5,4,5,2,3,1,3,1,2
Pastreoides30448,0,5,1,15,15,26,5,0,0,11,11,11
Pastreoides43987,0,68,112,300,383,790,313,84,18,594,363,588
Pastreoides33057,3,28,15,54,52,24,42,19,5,36,16,46
Pastreoides61734,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides61735,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides61736,0,0,1,2,1,1,3,1,1,1,2,4
Pastreoides61737,0,0,3,11,11,7,5,2,0,6,3,9
Pastreoides61730,0,9,12,45,58,57,9,6,4,70,39,58
Pastreoides33054,13,350,593,282,131,207,722,87,41,392,172,315
Pastreoides61732,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides61733,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides33055,26,469,647,1688,1642,2294,815,222,50,3420,2458,4454
Pastreoides61738,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides61739,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides22414,0,0,2,28,32,21,7,2,3,19,20,22
Pastreoides22415,0,0,0,56,127,21,10,7,0,58,18,17
Pastreoides22416,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides22417,0,0,0,0,4,0,0,0,0,0,0,0
Pastreoides22410,0,50,55,253,221,116,49,6,6,180,93,179
Pastreoides22411,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides22412,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides22413,0,18,9,70,80,44,12,0,0,62,38,59
Pastreoides56765,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides15974,0,36,47,228,352,339,57,21,0,311,169,196
Pastreoides15977,0,0,0,0,0,0,0,0,0,3,0,6
Pastreoides15976,0,0,0,0,0,0,58,28,0,0,0,0
Pastreoides56761,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides43989,0,7,37,94,73,80,22,6,0,68,39,76
Pastreoides56763,22,674,762,2046,1990,3393,1288,328,64,3657,2018,4733
Pastreoides15972,0,169,307,476,499,818,310,89,0,711,474,978
Pastreoides32969,77,748,1631,5323,4725,9243,3446,837,214,8208,4280,11292
Pastreoides32968,2,149,233,709,647,1248,519,115,47,1266,716,1721
Pastreoides43988,0,0,12,85,134,104,28,0,0,166,89,101
Pastreoides17578,3,0,72,217,307,741,167,16,4,429,261,622
Pastreoides32961,0,0,4,0,0,0,3,0,0,4,0,0
Pastreoides32960,0,0,0,0,2,0,0,0,0,0,0,0
Pastreoides32963,41,376,444,612,473,1242,450,315,52,528,279,408
Pastreoides32962,0,0,6,5,0,0,0,0,0,0,0,0
Pastreoides32965,0,0,39,289,333,433,66,14,0,255,165,360
Pastreoides32964,0,104,272,2330,3347,4772,303,83,26,4696,3086,5030
Pastreoides32967,26,1038,1527,7959,8561,8798,2082,502,213,7686,4672,11840
Pastreoides32966,0,60,69,544,664,815,124,49,0,678,286,689
Pastreoides27462,0,59,109,472,577,366,70,54,0,334,202,257
Pastreoides27463,0,0,0,5,0,0,0,0,0,0,0,0
Pastreoides27460,0,262,320,1925,2271,2273,501,122,19,2295,1107,2004
Pastreoides27461,2,156,167,1369,1676,1574,247,65,34,1661,672,1242
Pastreoides27466,0,27,82,610,616,611,140,46,0,548,257,394
Pastreoides27467,0,230,275,2528,3207,2269,430,104,12,2836,1656,2512
Pastreoides27464,36,1910,2624,8065,8617,13709,3874,1180,599,10067,6057,8563
Pastreoides27465,8,1165,1863,5436,5757,7405,2600,656,126,6737,3803,5515
Pastreoides23848,0,0,12,0,0,0,0,12,0,0,6,0
Pastreoides27468,21,912,1650,4947,5163,5101,2211,663,141,4021,2495,3954
Pastreoides27469,0,0,0,0,0,0,6,0,0,0,0,0
Pastreoides55892,0,0,0,6,26,8,0,0,0,0,0,4
Pastreoides61088,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides61089,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides10083,0,12,4,3,1,5,32,3,0,0,3,2
Pastreoides61082,0,0,0,6,4,6,0,0,0,1,6,14
Pastreoides61083,0,0,0,7,0,0,0,0,0,0,0,4
Pastreoides61080,0,102,110,604,692,773,218,43,15,802,480,695
Pastreoides61081,0,0,6,0,0,0,0,0,0,0,0,0
Pastreoides61086,0,477,389,1356,1940,2275,320,606,0,2106,1304,1239
Pastreoides10080,0,0,0,0,2,0,1,0,0,0,0,0
Pastreoides61084,0,0,0,0,0,0,0,0,0,0,0,6
Pastreoides61085,0,0,61,709,778,472,80,43,0,540,355,456
Pastreoides25198,0,0,5,105,108,56,35,8,2,46,17,37
Pastreoides23844,0,93,35,1928,2989,6234,69,23,10,3139,1917,5060
Pastreoides10081,0,0,0,9,0,0,6,0,0,18,0,0
Pastreoides23845,0,0,0,0,0,2,0,0,0,0,0,0
Pastreoides25190,0,0,0,2,0,0,0,0,0,0,0,2
Pastreoides07958,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides25192,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides25193,0,2,0,0,0,0,0,0,0,0,0,0
Pastreoides25194,0,2,3,4,3,1,5,1,2,3,1,3
Pastreoides25195,0,0,28,320,309,550,46,7,0,380,238,526
Pastreoides25196,0,25,53,161,294,348,85,38,13,411,245,431
Pastreoides07959,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides28895,0,11,0,0,3,0,0,0,0,2,0,0
Pastreoides10084,0,1,2,2,7,1,3,0,0,0,1,1
Pastreoides21033,0,0,0,0,0,0,0,2,0,0,0,0
Pastreoides23840,106,4496,2715,1220,1155,2861,6843,888,401,5885,3840,6357
Pastreoides61877,0,0,3,0,0,0,0,0,0,4,8,6
Pastreoides55895,0,10,0,3,6,0,6,2,0,3,0,3
Pastreoides23841,0,32,52,1082,1285,1087,203,195,35,920,667,984
Pastreoides07954,0,0,0,0,0,0,2,0,0,0,0,0
Pastreoides52811,0,2,0,0,10,0,0,1,0,0,0,0
Pastreoides28890,0,0,3,0,0,0,2,0,0,0,0,0
Pastreoides07955,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides28891,0,101,53,44,26,0,0,36,0,0,0,0
Pastreoides55898,0,0,0,0,4,9,0,0,0,0,0,0
Pastreoides10089,0,0,5,0,0,20,0,0,0,12,0,9
Pastreoides51238,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides51239,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides51236,16,0,0,16,0,0,6,0,0,11,0,7
Pastreoides51237,0,49,42,0,0,0,131,8,0,0,0,0
Pastreoides51234,0,5,2,3,4,3,7,2,2,4,3,5
Pastreoides51235,0,0,0,0,5,8,5,0,0,0,0,4
Pastreoides51232,4,117,264,333,319,1024,331,48,4,816,373,721
Pastreoides51233,0,1,1,3,3,8,0,0,1,0,4,0
Pastreoides51230,0,0,7,0,0,0,2,0,0,0,0,0
Pastreoides51231,0,8,10,3,0,9,8,2,0,0,4,6
Pastreoides61397,0,10,26,648,562,332,26,14,5,222,154,308
Pastreoides09849,0,100,131,1142,1732,6841,247,226,13,6589,3909,7436
Pastreoides20113,189,6446,35430,4803,3402,8517,30961,2780,2326,4842,2917,4990
Pastreoides20112,0,18,54,23,22,44,76,7,13,51,27,50
Pastreoides20111,0,165,194,308,408,239,418,100,16,388,222,458
Pastreoides20110,34,1399,1927,4850,5720,7286,2400,5676,1422,6724,3863,5095
Pastreoides20117,0,11,20,6,0,21,46,4,0,10,11,12
Pastreoides20116,0,275,212,900,886,1123,340,47,29,1320,808,1066
Pastreoides20115,0,39,121,761,812,546,141,49,14,734,511,813
Pastreoides20114,0,12,67,521,593,486,177,47,11,505,220,312
Pastreoides38412,0,0,0,33,36,78,20,0,0,60,0,104
Pastreoides20119,0,59,64,74,69,71,175,28,10,62,25,95
Pastreoides20118,0,39,6,13,16,22,58,3,0,18,5,20
Pastreoides53241,0,5,3,26,29,19,4,2,0,20,11,10
Pastreoides02896,0,13,10,0,0,0,13,15,0,0,0,0
Pastreoides09845,1,1,2,1,1,1,6,2,0,1,1,1
Pastreoides02894,0,0,0,0,0,0,0,0,1,0,0,0
Pastreoides12747,0,0,0,0,0,0,3,0,0,0,0,0
Pastreoides12746,0,0,7,168,229,194,4,14,6,104,128,176
Pastreoides12745,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides02895,0,5,9,0,2,0,11,4,0,0,0,2
Pastreoides12743,0,16,18,180,179,144,40,10,6,184,165,495
Pastreoides12742,0,4,2,49,30,38,10,3,0,52,30,161
Pastreoides12741,0,0,0,64,29,48,16,12,0,89,0,0
Pastreoides12740,0,25,15,153,88,60,29,0,0,91,64,302
Pastreoides02892,0,0,0,0,0,0,10,0,0,0,0,0
Pastreoides12749,0,0,0,106,106,148,10,0,0,127,92,72
Pastreoides12748,0,0,26,10323,3949,11005,200,0,8,8663,6268,11102
Pastreoides30592,0,18,8,662,1143,1480,125,97,19,1214,651,1331
Pastreoides02890,0,4,2,16,15,19,18,2,0,19,8,20
Pastreoides30593,0,0,0,217,404,329,1,0,0,357,137,275
Pastreoides09843,0,14,7,0,0,0,0,0,5,0,0,0
Pastreoides30590,0,61,119,1142,1088,1104,114,59,13,771,504,700
Pastreoides31735,0,134,77,894,930,1108,136,66,20,877,479,947
Pastreoides05887,0,230,363,1692,1828,3036,373,154,36,2998,2053,3245
Pastreoides44148,0,0,0,0,0,0,7,0,0,0,1,0
Pastreoides05880,0,5,33,0,0,0,211,56,21,3,7,0
Pastreoides44149,0,0,0,0,0,0,6,0,0,0,0,0
Pastreoides30597,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides44146,0,44,74,667,448,462,84,26,4,447,269,453
Pastreoides05882,44,1511,2371,7916,10813,22540,3557,1008,259,22460,13402,19883
Pastreoides21448,0,0,4,867,399,432,33,0,0,543,371,696
Pastreoides44147,0,9,0,0,4,0,5,0,3,0,0,1
Pastreoides21446,0,0,0,77,34,53,0,0,0,80,41,27
Pastreoides21447,6,26,8,239,125,235,31,8,0,278,158,254
Pastreoides21444,0,16,5,108,138,67,10,7,0,46,21,67
Pastreoides05883,0,309,500,3585,4843,7536,454,167,43,8491,5745,7865
Pastreoides21442,0,3,0,6,4,4,6,0,2,3,4,3
Pastreoides09345,0,54,129,322,905,469,264,20,26,613,191,488
Pastreoides21440,0,7,0,2,2,0,4,0,1,2,1,1
Pastreoides21441,0,0,0,2,0,1,0,0,0,0,0,0
Pastreoides21994,1,3,4,30,49,38,3,15,5,26,10,24
Pastreoides21995,12,113,149,375,403,628,412,114,7,1067,613,1142
Pastreoides21996,0,6,1,0,0,0,7,0,0,0,2,0
Pastreoides09344,0,77,155,159,142,898,354,99,23,731,354,821
Pastreoides21990,0,153,161,622,390,376,695,59,21,461,230,650
Pastreoides41420,3,199,331,1118,1762,1682,287,201,109,1457,717,932
Pastreoides21992,0,0,38,122,84,92,108,28,0,65,40,105
Pastreoides21993,0,7,0,0,0,0,0,0,5,0,0,0
Pastreoides52810,0,25,0,4,3,0,0,0,16,3,2,0
Pastreoides44142,0,30,12,360,443,236,29,0,14,215,158,165
Pastreoides00949,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides21998,0,0,0,0,0,0,4,0,0,0,0,0
Pastreoides21999,0,121,119,1424,1510,1188,130,47,16,1088,655,1160
Pastreoides04529,0,25,32,449,358,481,32,8,0,448,292,357
Pastreoides09341,0,121,101,0,37,0,109,20,0,0,0,0
Pastreoides54378,0,0,0,14,4,0,10,0,0,4,4,7
Pastreoides63512,0,7,15,0,0,69,52,19,0,18,24,15
Pastreoides54233,0,0,0,0,3,0,2,0,0,0,3,0
Pastreoides48249,0,0,0,0,28,0,35,0,0,0,0,24
Pastreoides48248,0,0,0,0,5,0,26,0,0,0,0,0
Pastreoides00940,0,0,0,8,9,13,3,0,2,8,5,6
Pastreoides19259,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides48241,0,0,0,399,367,106,126,0,39,196,63,225
Pastreoides01178,0,2,0,6,6,8,5,3,0,8,3,6
Pastreoides48243,0,95,134,1040,1234,851,576,122,37,742,437,1063
Pastreoides48242,0,0,0,45,49,18,10,0,0,14,11,6
Pastreoides48245,0,39,18,435,539,138,171,31,4,239,114,303
Pastreoides48244,0,1,0,71,86,39,54,0,0,39,14,51
Pastreoides48247,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides48246,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides11508,0,19,37,75,76,34,37,7,0,28,13,26
Pastreoides11509,0,0,4,0,17,0,8,0,0,0,0,0
Pastreoides54232,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides00495,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides11500,0,0,0,0,20,75,23,37,0,12,0,0
Pastreoides11501,0,66,63,10,0,23,62,50,9,5,0,0
Pastreoides11502,0,0,5,148,94,156,597,174,91,105,86,98
Pastreoides11503,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides11504,0,0,9,24,11,2,14,4,0,20,14,30
Pastreoides12327,0,5,0,23,16,0,10,6,0,0,0,0
Pastreoides11506,0,0,0,0,8,0,0,0,0,4,0,9
Pastreoides11507,0,0,8,0,0,0,14,0,0,0,0,0
Pastreoides32385,0,0,0,82,120,55,0,0,0,15,12,39
Pastreoides12326,0,0,0,0,1,0,0,0,0,0,0,0
Pastreoides32384,0,0,0,50,64,0,0,0,0,3,3,9
Pastreoides52567,0,11,31,10,0,5,36,27,0,14,13,19
Pastreoides63510,0,21,33,212,409,336,110,30,0,222,203,210
Pastreoides32387,0,0,0,0,0,0,0,2,0,0,0,1
Pastreoides00491,0,27,22,136,138,52,82,31,6,77,61,47
Pastreoides32386,0,0,0,0,0,0,0,2,0,0,0,0
Pastreoides10459,0,0,6,0,0,0,12,0,0,0,0,2
Pastreoides12323,0,0,0,0,0,0,0,1,0,0,0,0
Pastreoides55445,0,56,80,257,305,503,219,28,9,298,188,486
Pastreoides55444,16,231,407,1361,1300,1986,766,184,38,1702,942,1889
Pastreoides10457,0,26,67,633,642,823,54,42,0,678,415,763
Pastreoides55446,7,53,99,423,296,459,286,54,7,394,239,435
Pastreoides10451,0,0,0,0,0,29,0,0,0,29,15,0
Pastreoides10450,0,0,0,89,133,137,0,0,0,126,72,134
Pastreoides10453,0,0,15,255,302,207,79,26,0,253,148,262
Pastreoides32380,0,3,1,3,2,2,3,4,0,1,1,1
Pastreoides15218,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides15219,0,0,0,2,7,14,0,0,0,1,6,0
Pastreoides18628,0,29,34,283,364,321,72,23,0,255,127,257
Pastreoides18629,0,80,48,285,295,379,80,50,4,244,107,156
Pastreoides01172,0,10,7,45,35,38,18,4,1,35,25,26
Pastreoides15210,0,0,0,0,0,0,12,2,0,0,0,0
Pastreoides15211,0,16,0,0,0,0,28,0,0,0,0,0
Pastreoides18620,0,0,1,3,0,0,27,5,1,2,4,4
Pastreoides15213,0,738,1312,8214,11514,23616,1032,534,239,31443,17421,18088
Pastreoides18626,0,35,114,704,760,549,232,68,0,640,299,624
Pastreoides18627,0,0,0,39,45,32,3,3,0,23,7,16
Pastreoides18624,0,179,286,1897,1960,1546,534,225,42,1269,857,1380
Pastreoides18625,0,0,0,0,0,0,4,0,0,0,0,0
Pastreoides54234,133,1781,3926,6490,7702,5719,3382,261,423,9377,4590,9568
Pastreoides12329,0,0,0,6,13,0,0,0,0,0,0,0
Pastreoides12328,0,0,0,0,3,6,0,0,0,0,0,2
Pastreoides31733,0,0,2,8,0,0,0,4,0,0,0,0
Pastreoides54318,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides54319,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides54316,0,0,0,0,0,23,13,0,0,2,0,13
Pastreoides13907,0,17,4,119,132,31,40,21,8,67,47,53
Pastreoides13904,0,0,0,0,0,0,1,0,0,0,0,0
Pastreoides54315,0,0,0,0,0,5,5,0,0,0,0,3
Pastreoides54312,0,0,5,1,1,2,8,3,0,0,0,1
Pastreoides13903,0,17,13,9,12,29,13,5,1,41,16,37
Pastreoides13900,0,0,0,0,0,6,0,0,0,0,0,11
Pastreoides54311,0,0,0,0,3,0,3,0,0,26,8,7
Pastreoides39829,0,2,34,368,393,248,50,16,7,207,117,147
Pastreoides39828,0,35,104,912,1013,806,150,55,7,625,377,519
Pastreoides39821,0,40,82,270,135,335,138,33,10,361,178,414
Pastreoides39820,9,122,237,692,666,1083,374,112,29,1038,580,1399
Pastreoides39823,0,58,108,452,411,399,91,27,0,456,291,430
Pastreoides39822,0,0,0,40,27,11,0,0,0,0,0,8
Pastreoides39825,0,0,6,182,189,46,28,12,0,30,19,39
Pastreoides39824,0,0,3,70,89,25,6,4,5,26,11,8
Pastreoides39827,0,71,76,1260,1556,908,154,51,15,1108,647,838
Pastreoides39826,0,0,5,244,421,189,92,12,0,383,234,208
Pastreoides31732,0,0,0,0,0,0,8,0,0,0,0,0
Pastreoides49076,0,9,6,8,14,0,17,6,0,17,0,0
Pastreoides38526,0,31,24,221,153,167,32,26,7,199,80,241
Pastreoides64049,0,47,61,40,55,40,127,46,0,20,36,16
Pastreoides29858,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides18514,0,5,54,2,0,0,97,4,7,0,0,0
Pastreoides29855,0,0,3,0,0,0,5,3,0,0,0,0
Pastreoides29854,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides64047,0,0,6,0,0,0,15,0,0,0,17,10
Pastreoides64046,0,11,24,0,4,13,47,10,0,0,5,35
Pastreoides29851,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides64040,7,67,134,468,447,343,118,16,7,287,172,389
Pastreoides11842,0,0,0,0,0,0,3,0,0,0,0,0
Pastreoides64042,0,0,0,0,0,0,2,3,0,0,0,0
Pastreoides38525,4,14,48,348,311,284,83,24,3,265,126,413
Pastreoides12185,0,116,231,2432,2914,2287,395,268,82,2160,1271,1471
Pastreoides50350,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides21235,0,0,0,18,38,4,11,4,0,14,13,14
Pastreoides12184,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides04388,0,13,6,12,11,9,5,0,2,8,8,8
Pastreoides50351,0,0,0,0,0,0,0,0,0,0,0,0
