gene_id,D20,D21,D22,L7,L8,L9,R13B,R15B,R33,S4,S5,S7
Pastreoides22575,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides64242,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides25706,0,131,175,438,548,614,325,54,27,581,389,867
Pastreoides64241,0,0,0,0,2,0,7,0,0,0,0,0
Pastreoides23118,0,0,0,8,15,12,0,0,0,16,0,9
Pastreoides23119,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides23116,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides23117,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides23114,0,0,0,198,52,108,17,0,0,93,80,110
Pastreoides64240,0,0,0,2,3,1,2,0,0,0,4,0
Pastreoides23112,0,0,0,0,4,0,4,0,0,0,0,0
Pastreoides23113,0,0,0,68,17,31,0,0,0,28,22,0
Pastreoides23110,0,0,31,487,482,409,69,27,3,578,280,556
Pastreoides23111,24,946,1360,7029,9895,7144,1779,619,60,6525,3757,6821
Pastreoides25703,0,21,35,173,170,227,63,17,4,139,113,227
Pastreoides51780,0,0,0,6,3,0,0,0,0,3,3,3
Pastreoides25702,5,55,62,219,248,320,132,25,0,236,223,414
Pastreoides38795,0,20,30,33,14,70,49,16,7,71,49,57
Pastreoides08995,0,142,113,14178,8917,13696,318,0,140,4136,2322,3981
Pastreoides37660,0,928,2193,6917,5373,7935,3462,479,91,7168,3683,7366
Pastreoides37977,0,0,6,1589,1838,1782,0,0,0,689,424,461
Pastreoides37976,0,0,0,0,0,0,24,0,11,2,0,2
Pastreoides37979,0,7,8,4963,5654,4440,0,5,1,2141,1396,2007
Pastreoides42855,0,1,1,1,2,2,1,0,0,3,2,2
Pastreoides33558,0,0,19,43,76,86,34,0,5,88,40,109
Pastreoides37978,0,7,5,4,9,10,2,0,0,4,3,5
Pastreoides63647,0,2,1,3,4,5,2,1,1,3,2,5
Pastreoides10304,0,34,40,103,203,192,85,15,0,222,141,313
Pastreoides37663,0,73,59,372,312,406,91,64,9,428,249,495
Pastreoides35183,0,9,11,71,31,58,150,6,9,35,49,45
Pastreoides37662,0,314,723,5280,4983,6068,1104,272,40,6529,3744,6131
Pastreoides12989,0,0,1,1,0,3,5,2,0,2,3,5
Pastreoides12988,0,2,1,1,3,0,1,1,1,2,1,1
Pastreoides12985,0,0,0,0,0,0,3,0,0,2,5,2
Pastreoides12984,0,120,68,588,613,513,189,55,9,447,339,716
Pastreoides12987,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides12986,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides12981,0,157,170,1345,1381,1464,399,138,15,1565,796,1241
Pastreoides12980,0,87,206,897,929,1438,417,159,0,1041,578,1297
Pastreoides12983,0,18,48,314,361,423,80,53,0,554,348,540
Pastreoides12982,68,3630,3667,14661,18993,37558,2039,2509,1147,26035,14598,14949
Pastreoides48832,0,8,10,3,24,3,9,0,0,18,9,0
Pastreoides48833,0,0,14,29,30,36,32,0,0,29,21,21
Pastreoides48830,19,174,271,626,579,547,612,142,30,619,304,839
Pastreoides11868,11,718,843,5202,7589,6967,1593,484,139,5999,3415,5793
Pastreoides48836,0,61,33,184,694,580,81,6,7,802,421,825
Pastreoides61469,0,38,87,217,212,250,133,53,32,332,211,417
Pastreoides48834,0,61,34,172,661,404,103,13,3,574,375,552
Pastreoides48835,0,0,2,128,126,147,0,0,0,53,30,36
